customerID,gender,SeniorCitizen,Age,Partner,Tenure_Months,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,SignupDate,Churn
CUST-1272,Male,0,67.0,No,14,Two year,DSL,81.02,1109.61,Mailed check,2021-06-22 00:00:00,No
CUST-1057,Male,0,52.0,,52,One year,fiber optic,73.41,3819.85,Mailed check,2019-06-05 00:00:00,No
CUST-1153,,1,46.0,No,59,Month-to-month,,62.0,3663.69,Mailed check,2023-08-28 00:00:00,No
CUST-1066,,0,35.0,,24,,fiber optic,67.05,1616.69,electronic check ,2023-04-06 00:00:00,No
CUST-1115,,0,50.0,Yes,0,Month-to-month,fiber optic,68.01,25.72,Credit card,2021-03-27 00:00:00,No
CUST-1094,female,1,38.0,,39,,DSL,94.59,3665.46,Credit card,2020-08-12 00:00:00,Yes
CUST-1268,male,0,59.0,,40,One year,fiber optic,83.55,3340.79,electronic check ,2022-07-19 00:00:00,No
CUST-1261,female,1,35.0,,52,month-to-month,DSL,61.03,3114.23,Mailed check,2020-08-21 00:00:00,No
CUST-1037, Male,1,29.0,Yes,23,month-to-month,No,73.9,1698.61,Bank transfer,2019-03-20 00:00:00,No
CUST-1080,female,0,48.0,No,42,Two year,No,62.29,2630.23,Credit card,2023-11-07 00:00:00,No
CUST-1108,Male,1,37.0,Yes,62,,,23.5,1361.36,electronic check ,2020-02-29 00:00:00,No
CUST-1084,male,1,42.0,No,23,Two year,Fiber optic,77.36,1689.9,Mailed check,2021-02-24 00:00:00,No
CUST-1276,female,0,37.0,Yes,3,Month-to-month,fiber optic,125.33,443.56,Electronic check,2019-07-31 00:00:00,No
CUST-1160,,0,21.0,Yes,63,month-to-month,,93.59,5981.46,Credit card,2019-03-13 00:00:00,Yes
CUST-1280,male,0,39.0,,31,,No,91.07,2971.42,electronic check ,2021-11-09 00:00:00,No
CUST-1090,male,1,18.0,No,24,One year,DSL,53.83,1219.89,electronic check ,2021-02-17 00:00:00,Yes
CUST-1003,male,1,35.0,,57,Month-to-month,fiber optic,19.37,1151.61,Credit card,2019-06-11 00:00:00,Yes
CUST-1181,Male,1,44.0,No,62,,,65.02,4039.15,Mailed check,2020-02-12 00:00:00,Yes
CUST-1106,male,0,37.0,Yes,35,month-to-month,fiber optic,46.56,1523.41,Mailed check,2023-10-18 00:00:00,No
CUST-1285,Female,1,52.0,,19,,DSL,142.62,2727.15,Credit card,2023-02-03 00:00:00,No
CUST-1235, Male,1,50.0,No,67,,DSL,44.0,2956.23,Credit card,2021-10-01 00:00:00,No
CUST-1091,Male,0,45.0,,52,month-to-month,No,80.6,4222.62,Electronic check,2021-06-07 00:00:00,No
CUST-1113,female,0,59.0,No,0,month-to-month,,73.56,95.58,Mailed check,2020-07-17 00:00:00,No
CUST-1295,female,0,31.0,No,9,One year,DSL,27.43,259.58,Electronic check,2023-04-04 00:00:00,No
CUST-1074,Female,1,38.0,,47,month-to-month,,111.8,5227.14,Mailed check,2021-05-20 00:00:00,Yes
CUST-1299,male,0,45.0,Yes,60,Two year,Fiber optic,56.96,3395.05,electronic check ,2019-08-12 00:00:00,No
CUST-1150,Male,0,50.0,No,64,month-to-month,fiber optic,39.68,,Bank transfer,2020-05-07 00:00:00,No
CUST-1216,Female,1,31.0,,6,Two year,fiber optic,55.96,358.09,electronic check ,2021-12-21 00:00:00,No
CUST-1065,,1,40.0,No,14,,Fiber optic,45.68,627.68,Mailed check,2020-10-08 00:00:00,No
CUST-1286,Male,1,78.0,,65,One year,,75.31,4961.0,Mailed check,2019-09-02 00:00:00,Yes
CUST-1147,Male,1,37.0,,13,Month-to-month,No,80.96,969.4,Mailed check,2019-03-20 00:00:00,Yes
